target,target_week,location,type,quantile,value
2 wk ahead,35,HH,quantile,0.025,285
2 wk ahead,35,HH,quantile,0.25,411
2 wk ahead,35,HH,quantile,0.5,462
2 wk ahead,35,HH,quantile,0.75,513
2 wk ahead,35,HH,quantile,0.975,647

1 wk ahead,34,HE,point,NA,-
1 wk ahead,34,HE,quantile,0.025,-
1 wk ahead,34,HE,quantile,0.25,-
1 wk ahead,34,HE,quantile,0.5,-
1 wk ahead,34,HE,quantile,0.75,-
1 wk ahead,34,HE,quantile,0.975,-
2 wk ahead,35,HE,point,NA,421
2 wk ahead,35,HE,quantile,0.025,278
2 wk ahead,35,HE,quantile,0.25,340
2 wk ahead,35,HE,quantile,0.5,421
2 wk ahead,35,HE,quantile,0.75,512
2 wk ahead,35,HE,quantile,0.975,616

1 wk ahead,34,MV,point,NA,104
1 wk ahead,34,MV,quantile,0.025,71
1 wk ahead,34,MV,quantile,0.25,89
1 wk ahead,34,MV,quantile,0.5,104
1 wk ahead,34,MV,quantile,0.75,122
1 wk ahead,34,MV,quantile,0.975,145
2 wk ahead,35,MV,point,NA,125
2 wk ahead,35,MV,quantile,0.025,45
2 wk ahead,35,MV,quantile,0.25,74
2 wk ahead,35,MV,quantile,0.5,125
2 wk ahead,35,MV,quantile,0.75,175
2 wk ahead,35,MV,quantile,0.975,211

1 wk ahead,34,NI,point,NA,-
1 wk ahead,34,NI,quantile,0.025,-
1 wk ahead,34,NI,quantile,0.25,-
1 wk ahead,34,NI,quantile,0.5,-
1 wk ahead,34,NI,quantile,0.75,-
1 wk ahead,34,NI,quantile,0.975,-
2 wk ahead,35,NI,point,NA,-
2 wk ahead,35,NI,quantile,0.025,-
2 wk ahead,35,NI,quantile,0.25,-
2 wk ahead,35,NI,quantile,0.5,-
2 wk ahead,35,NI,quantile,0.75,-
2 wk ahead,35,NI,quantile,0.975,-

1 wk ahead,34,NW,point,NA,468
1 wk ahead,34,NW,quantile,0.025,330
1 wk ahead,34,NW,quantile,0.25,411
1 wk ahead,34,NW,quantile,0.5,468
1 wk ahead,34,NW,quantile,0.75,520
1 wk ahead,34,NW,quantile,0.975,666
2 wk ahead,35,NW,point,NA,654
2 wk ahead,35,NW,quantile,0.025,384
2 wk ahead,35,NW,quantile,0.25,583
2 wk ahead,35,NW,quantile,0.5,654
2 wk ahead,35,NW,quantile,0.75,726
2 wk ahead,35,NW,quantile,0.975,971

1 wk ahead,34,RP,point,NA,-
1 wk ahead,34,RP,quantile,0.025,-
1 wk ahead,34,RP,quantile,0.25,-
1 wk ahead,34,RP,quantile,0.5,-
1 wk ahead,34,RP,quantile,0.75,-
1 wk ahead,34,RP,quantile,0.975,-
2 wk ahead,35,RP,point,NA,402
2 wk ahead,35,RP,quantile,0.025,271
2 wk ahead,35,RP,quantile,0.25,321
2 wk ahead,35,RP,quantile,0.5,402
2 wk ahead,35,RP,quantile,0.75,486
2 wk ahead,35,RP,quantile,0.975,548

1 wk ahead,34,SL,point,NA,-
1 wk ahead,34,SL,quantile,0.025,-
1 wk ahead,34,SL,quantile,0.25,-
1 wk ahead,34,SL,quantile,0.5,-
1 wk ahead,34,SL,quantile,0.75,-
1 wk ahead,34,SL,quantile,0.975,-
2 wk ahead,35,SL,point,NA,137
2 wk ahead,35,SL,quantile,0.025,22
2 wk ahead,35,SL,quantile,0.25,69
2 wk ahead,35,SL,quantile,0.5,137
2 wk ahead,35,SL,quantile,0.75,210
2 wk ahead,35,SL,quantile,0.975,266

1 wk ahead,34,SN,point,NA,-
1 wk ahead,34,SN,quantile,0.025,-
1 wk ahead,34,SN,quantile,0.25,-
1 wk ahead,34,SN,quantile,0.5,-
1 wk ahead,34,SN,quantile,0.75,-
1 wk ahead,34,SN,quantile,0.975,-
2 wk ahead,35,SN,point,NA,-
2 wk ahead,35,SN,quantile,0.025,-
2 wk ahead,35,SN,quantile,0.25,-
2 wk ahead,35,SN,quantile,0.5,-
2 wk ahead,35,SN,quantile,0.75,-
2 wk ahead,35,SN,quantile,0.975,-

1 wk ahead,34,ST,point,NA,-
1 wk ahead,34,ST,quantile,0.025,-
1 wk ahead,34,ST,quantile,0.25,-
1 wk ahead,34,ST,quantile,0.5,-
1 wk ahead,34,ST,quantile,0.75,-
1 wk ahead,34,ST,quantile,0.975,-
2 wk ahead,35,ST,point,NA,-
2 wk ahead,35,ST,quantile,0.025,-
2 wk ahead,35,ST,quantile,0.25,-
2 wk ahead,35,ST,quantile,0.5,-
2 wk ahead,35,ST,quantile,0.75,-
2 wk ahead,35,ST,quantile,0.975,-

1 wk ahead,34,SH,point,NA,399
1 wk ahead,34,SH,quantile,0.025,308
1 wk ahead,34,SH,quantile,0.25,341
1 wk ahead,34,SH,quantile,0.5,399
1 wk ahead,34,SH,quantile,0.75,455
1 wk ahead,34,SH,quantile,0.975,495
2 wk ahead,35,SH,point,NA,431
2 wk ahead,35,SH,quantile,0.025,300
2 wk ahead,35,SH,quantile,0.25,359
2 wk ahead,35,SH,quantile,0.5,431
2 wk ahead,35,SH,quantile,0.75,506
2 wk ahead,35,SH,quantile,0.975,568

1 wk ahead,34,TH,point,NA,-
1 wk ahead,34,TH,quantile,0.025,-
1 wk ahead,34,TH,quantile,0.25,-
1 wk ahead,34,TH,quantile,0.5,-
1 wk ahead,34,TH,quantile,0.75,-
1 wk ahead,34,TH,quantile,0.975,-
2 wk ahead,35,TH,point,NA,-
2 wk ahead,35,TH,quantile,0.025,-
2 wk ahead,35,TH,quantile,0.25,-
2 wk ahead,35,TH,quantile,0.5,-
2 wk ahead,35,TH,quantile,0.75,-
2 wk ahead,35,TH,quantile,0.975,-
