target,target_week,location,type,quantile,value
2 wk ahead,30,MV,quantile,0.5,-
2 wk ahead,30,MV,quantile,0.75,-
2 wk ahead,30,MV,quantile,0.975,-

1 wk ahead,29,NI,point,NA,2
1 wk ahead,29,NI,quantile,0.025,0
1 wk ahead,29,NI,quantile,0.25,0
1 wk ahead,29,NI,quantile,0.5,2
1 wk ahead,29,NI,quantile,0.75,5
1 wk ahead,29,NI,quantile,0.975,12
2 wk ahead,30,NI,point,NA,-
2 wk ahead,30,NI,quantile,0.025,-
2 wk ahead,30,NI,quantile,0.25,-
2 wk ahead,30,NI,quantile,0.5,-
2 wk ahead,30,NI,quantile,0.75,-
2 wk ahead,30,NI,quantile,0.975,-

1 wk ahead,29,NW,point,NA,-
1 wk ahead,29,NW,quantile,0.025,-
1 wk ahead,29,NW,quantile,0.25,-
1 wk ahead,29,NW,quantile,0.5,-
1 wk ahead,29,NW,quantile,0.75,-
1 wk ahead,29,NW,quantile,0.975,-
2 wk ahead,30,NW,point,NA,-
2 wk ahead,30,NW,quantile,0.025,-
2 wk ahead,30,NW,quantile,0.25,-
2 wk ahead,30,NW,quantile,0.5,-
2 wk ahead,30,NW,quantile,0.75,-
2 wk ahead,30,NW,quantile,0.975,-

1 wk ahead,29,RP,point,NA,-
1 wk ahead,29,RP,quantile,0.025,-
1 wk ahead,29,RP,quantile,0.25,-
1 wk ahead,29,RP,quantile,0.5,-
1 wk ahead,29,RP,quantile,0.75,-
1 wk ahead,29,RP,quantile,0.975,-
2 wk ahead,30,RP,point,NA,-
2 wk ahead,30,RP,quantile,0.025,-
2 wk ahead,30,RP,quantile,0.25,-
2 wk ahead,30,RP,quantile,0.5,-
2 wk ahead,30,RP,quantile,0.75,-
2 wk ahead,30,RP,quantile,0.975,-

1 wk ahead,29,SL,point,NA,-
1 wk ahead,29,SL,quantile,0.025,-
1 wk ahead,29,SL,quantile,0.25,-
1 wk ahead,29,SL,quantile,0.5,-
1 wk ahead,29,SL,quantile,0.75,-
1 wk ahead,29,SL,quantile,0.975,-
2 wk ahead,30,SL,point,NA,-
2 wk ahead,30,SL,quantile,0.025,-
2 wk ahead,30,SL,quantile,0.25,-
2 wk ahead,30,SL,quantile,0.5,-
2 wk ahead,30,SL,quantile,0.75,-
2 wk ahead,30,SL,quantile,0.975,-

1 wk ahead,29,SN,point,NA,3
1 wk ahead,29,SN,quantile,0.025,0
1 wk ahead,29,SN,quantile,0.25,0
1 wk ahead,29,SN,quantile,0.5,3
1 wk ahead,29,SN,quantile,0.75,6
1 wk ahead,29,SN,quantile,0.975,19
2 wk ahead,30,SN,point,NA,-
2 wk ahead,30,SN,quantile,0.025,-
2 wk ahead,30,SN,quantile,0.25,-
2 wk ahead,30,SN,quantile,0.5,-
2 wk ahead,30,SN,quantile,0.75,-
2 wk ahead,30,SN,quantile,0.975,-

1 wk ahead,29,ST,point,NA,-
1 wk ahead,29,ST,quantile,0.025,-
1 wk ahead,29,ST,quantile,0.25,-
1 wk ahead,29,ST,quantile,0.5,-
1 wk ahead,29,ST,quantile,0.75,-
1 wk ahead,29,ST,quantile,0.975,-
2 wk ahead,30,ST,point,NA,-
2 wk ahead,30,ST,quantile,0.025,-
2 wk ahead,30,ST,quantile,0.25,-
2 wk ahead,30,ST,quantile,0.5,-
2 wk ahead,30,ST,quantile,0.75,-
2 wk ahead,30,ST,quantile,0.975,-

1 wk ahead,29,SH,point,NA,-
1 wk ahead,29,SH,quantile,0.025,-
1 wk ahead,29,SH,quantile,0.25,-
1 wk ahead,29,SH,quantile,0.5,-
1 wk ahead,29,SH,quantile,0.75,-
1 wk ahead,29,SH,quantile,0.975,-
2 wk ahead,30,SH,point,NA,-
2 wk ahead,30,SH,quantile,0.025,-
2 wk ahead,30,SH,quantile,0.25,-
2 wk ahead,30,SH,quantile,0.5,-
2 wk ahead,30,SH,quantile,0.75,-
2 wk ahead,30,SH,quantile,0.975,-

1 wk ahead,29,TH,point,NA,3
1 wk ahead,29,TH,quantile,0.025,0
1 wk ahead,29,TH,quantile,0.25,0
1 wk ahead,29,TH,quantile,0.5,3
1 wk ahead,29,TH,quantile,0.75,5
1 wk ahead,29,TH,quantile,0.975,10
2 wk ahead,30,TH,point,NA,-
2 wk ahead,30,TH,quantile,0.025,-
2 wk ahead,30,TH,quantile,0.25,-
2 wk ahead,30,TH,quantile,0.5,-
2 wk ahead,30,TH,quantile,0.75,-
2 wk ahead,30,TH,quantile,0.975,-
