week,year,student,teacher,location
36,2021,99,1,MV
36,2021,320,16,NI
36,2021,8437,155,NW
36,2021,1973,61,RP
36,2021,207,6,SL
36,2021,197,20,SN
36,2021,104,4,ST
36,2021,272,9,SH
36,2021,22,12,TH
37,2021,559,24,BW
37,2021,830,54,BY
37,2021,1083,75,BE
37,2021,477,37,BB
37,2021,168,1,HB
37,2021,392,9,HH
37,2021,94,4,HE
37,2021,102,2,MV
37,2021,711,22,NI
37,2021,6425,130,NW
37,2021,1835,71,RP
37,2021,241,4,SL
37,2021,438,30,SN
37,2021,260,4,ST
37,2021,222,9,SH
37,2021,96,19,TH
38,2021,1264,39,BW
38,2021,2768,96,BY
38,2021,986,68,BE
38,2021,440,27,BB
38,2021,238,1,HB
38,2021,304,3,HH
38,2021,99,2,HE
38,2021,92,4,MV
38,2021,1016,24,NI
38,2021,4780,116,NW
38,2021,1455,68,RP
38,2021,170,1,SL
38,2021,523,17,SN
38,2021,282,8,ST
38,2021,166,7,SH
38,2021,146,24,TH
39,2021,1644,73,BW
39,2021,3866,143,BY
39,2021,923,71,BE
39,2021,316,30,BB
39,2021,298,2,HB
39,2021,313,6,HH
39,2021,96,3,HE
39,2021,106,3,MV
39,2021,1109,30,NI
39,2021,3926,115,NW
39,2021,1239,66,RP
39,2021,126,4,SL
39,2021,699,46,SN
39,2021,328,21,ST
39,2021,165,7,SH
39,2021,163,18,TH
40,2021,1879,77,BW
40,2021,4455,200,BY
40,2021,844,64,BE
40,2021,402,27,BB
40,2021,277,3,HB
40,2021,-,-,HH
40,2021,84,3,HE
40,2021,-,-,MV
40,2021,884,37,NI
40,2021,3209,99,NW
40,2021,1080,59,RP
40,2021,98,7,SL
40,2021,981,58,SN
40,2021,391,30,ST
40,2021,-,-,SH
40,2021,283,19,TH
41,2021,1772,90,BW
41,2021,4701,247,BY
41,2021,-,-,BE
41,2021,-,-,BB
41,2021,283,0,HB
41,2021,-,-,HH
41,2021,-,-,HE
41,2021,45,4,MV
41,2021,822,36,NI
41,2021,-,-,NW
41,2021,-,-,RP
41,2021,121,9,SL
41,2021,1236,71,SN
41,2021,483,34,ST
41,2021,-,-,SH
41,2021,444,38,TH
42,2021,1920,108,BW
42,2021,6355,366,BY
42,2021,-,-,BE
42,2021,-,-,BB
42,2021,-,-,HB
42,2021,204,6,HH
42,2021,-,-,HE
42,2021,181,13,MV
42,2021,-,-,NI
42,2021,-,-,NW
42,2021,-,-,RP
42,2021,-,-,SL
42,2021,-,-,SN
42,2021,651,48,ST
42,2021,241,16,SH
42,2021,560,67,TH
43,2021,-,-,BW
43,2021,9356,583,BY
43,2021,1323,142,BE
43,2021,1267,124,BB
43,2021,-,-,HB
43,2021,420,16,HH
43,2021,134,6,HE
43,2021,187,10,MV
43,2021,-,-,NI
43,2021,3195,226,NW
43,2021,985,86,RP
43,2021,-,-,SL
43,2021,-,-,SN
43,2021,-,-,ST
43,2021,328,18,SH
43,2021,404,51,TH
44,2021,3733,295,BW
44,2021,10007,651,BY
44,2021,2954,322,BE
44,2021,2901,241,BB
44,2021,67,0,HB
44,2021,469,27,HH
44,2021,159,9,HE
44,2021,181,13,MV
44,2021,453,54,NI
44,2021,5034,328,NW
44,2021,1524,129,RP
44,2021,65,7,SL
44,2021,1506,156,SN
44,2021,786,90,ST
44,2021,345,18,SH
44,2021,104,22,TH
45,2021,3733,295,BW
45,2021,14597,1177,BY
45,2021,2954,322,BE
45,2021,2901,241,BB
45,2021,128,4,HB
45,2021,610,39,HH
45,2021,242,11,HE
45,2021,299,16,MV
45,2021,1095,94,NI
45,2021,7662,487,NW
45,2021,2507,216,RP
45,2021,239,22,SL
45,2021,6085,433,SN
45,2021,1636,168,ST
45,2021,468,25,SH
45,2021,372,57,TH
46,2021,6763,552,BW
46,2021,20210,1519,BY
46,2021,4952,557,BE
46,2021,4813,376,BB
46,2021,208,12,HB
46,2021,718,53,HH
46,2021,262,17,HE
46,2021,286,18,MV
46,2021,2013,144,NI
46,2021,10559,683,NW
46,2021,3589,316,RP
46,2021,657,53,SL
46,2021,12301,936,SN
46,2021,3699,295,ST
46,2021,695,38,SH
46,2021,701,101,TH
47,2021,10274,779,BW
47,2021,23662,1673,BY
47,2021,5366,574,BE
47,2021,6182,490,BB
47,2021,305,18,HB
47,2021,774,55,HH
47,2021,318,21,HE
47,2021,435,23,MV
47,2021,2928,195,NI
47,2021,14145,1010,NW
47,2021,4900,395,RP
47,2021,1137,93,SL
47,2021,15083,1288,SN
47,2021,6052,487,ST
47,2021,727,46,SH
47,2021,1199,160,TH
48,2021,11808,881,BW
48,2021,23936,1619,BY
48,2021,4922,549,BE
48,2021,5935,426,BB
48,2021,333,18,HB
48,2021,890,66,HH
48,2021,3484,242,HE
48,2021,680,36,MV
48,2021,3621,282,NI
48,2021,17063,1171,NW
48,2021,6036,457,RP
48,2021,1148,91,SL
48,2021,14021,1044,SN
48,2021,6403,559,ST
48,2021,777,39,SH
48,2021,1943,235,TH
49,2021,10690,680,BW
49,2021,21756,1438,BY
49,2021,4315,490,BE
49,2021,5527,372,BB
49,2021,292,13,HB
49,2021,854,47,HH
49,2021,3262,211,HE
49,2021,682,36,MV
49,2021,3433,305,NI
49,2021,17509,1039,NW
49,2021,6005,425,RP
49,2021,857,68,SL
49,2021,11902,820,SN
49,2021,6229,493,ST
49,2021,699,59,SH
49,2021,2046,236,TH
50,2021,8589,476,BW
50,2021,18440,1132,BY
50,2021,4101,421,BE
50,2021,5208,341,BB
50,2021,285,8,HB
50,2021,1007,41,HH
50,2021,2865,137,HE
50,2021,791,35,MV
50,2021,3145,264,NI
50,2021,17581,843,NW
50,2021,5134,372,RP
50,2021,707,53,SL
50,2021,9968,550,SN
50,2021,4715,300,ST
50,2021,852,55,SH
50,2021,2928,255,TH
51,2021,6067,336,BW
51,2021,14543,844,BY
51,2021,4035,418,BE
51,2021,-,-,BB
51,2021,-,-,HB
51,2021,1099,45,HH
51,2021,-,-,HE
51,2021,-,-,MV
51,2021,3041,162,NI
51,2021,15103,635,NW
51,2021,3985,226,RP
51,2021,-,-,SL
51,2021,-,-,SN
51,2021,-,-,ST
51,2021,538,37,SH
51,2021,1615,123,TH
52,2021,-,-,BW
52,2021,-,-,BY
52,2021,-,-,BE
52,2021,-,-,BB
52,2021,-,-,HB
52,2021,-,-,HH
52,2021,-,-,HE
52,2021,-,-,MV
52,2021,-,-,NI
52,2021,-,-,NW
52,2021,-,-,RP
52,2021,-,-,SL
52,2021,-,-,SN
52,2021,-,-,ST
52,2021,-,-,SH
52,2021,-,-,TH
1,2022,-,-,BW
1,2022,-,-,BY
1,2022,1858,309,BE
1,2022,2185,237,BB
1,2022,-,-,HB
1,2022,2929,77,HH
