"data_date";"key";"date";"schools_closed";"schools_closed_perc";"schools_limited";"schools_limited_perc";"schools_limited_distance";"schools_limited_distance_perc";"schools_total";"students_infected";"students_infected_perc";"students_quarantine";"students_quarantine_perc";"students_total";"teacher_infected";"teacher_infected_perc";"teacher_quarantine";"teacher_quarantine_perc";"teacher_total";"students_perc";"teacher_perc"
"2022-02-17";"bl_st";"2022-02-19";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-17";"bl_sh";"2022-02-19";"0";"0,00000000000000e+00";"7";"7,82997762863535e-01";"7";"7,82997762863535e-01";"894";"3065";"8,08436223218077e-01";"3426";"9,03654975773290e-01";"379127";"269";"8,68694697410063e-01";"180";"5,81282697151715e-01";"30966";"0,808436223218077399";"0,86869469741006256"
"2022-02-17";"bl_th";"2022-02-19";NA;NA;NA;NA;NA;NA;"969";"1644";"6,66623414539203e-01";"3639";"1,47557336101469e+00";"246616";"208";"9,85315016579820e-01";"250";"1,18427285646613e+00";"21110";"0,666623414539202708";"0,98531501657981990"
"2022-02-17";"bereinigter_anteil";NA;NA;"2,14132762312634e-01";NA;"2,43440233236152e+00";NA;"1,25693481276006e+00";NA;NA;"2,47056259496467e+00";NA;"2,65859550879903e+00";NA;NA;"2,19490086432520e+00";NA;"9,65991735972287e-01";NA;NA;NA
"2022-02-17";"bereinigte_bezugsgrosse";NA;NA;"2,14820000000000e+04";NA;"2,05800000000000e+04";NA;"1,15360000000000e+04";NA;NA;"8,75917900000000e+06";NA;"7,39984700000000e+06";NA;NA;"7,83270000000000e+05";NA;"6,64809000000000e+05";NA;NA;NA
"2022-02-10";"bl_bw";"2022-02-11";"0";NA;"0";NA;"178";"4,00991214237441e+00";"4439";"34554";"2,35504999216210e+00";"29444";"2,00677467063787e+00";"1467230";"2865";"2,07976422079619e+00";"1668";"1,21083655158396e+00";"137756";"2,355049992162101535";"2,07976422079619017"
"2022-02-10";"bl_by";"2022-02-12";"8";"1,31319763624425e-01";"311";"5,10505581089954e+00";NA;NA;"6092";"64227";"3,95489619067148e+00";"39657";"2,44195304519063e+00";"1623987";"4583";"2,70448899143746e+00";"763";"4,50256404203967e-01";"169459";"3,954896190671477463";"2,70448899143745702"
"2022-02-10";"bl_be";"2022-02-12";"0";"0,00000000000000e+00";NA;NA;NA;NA;"902";NA;NA;NA;NA;"458779";NA;NA;NA;NA;"50846";NA;NA
"2022-02-10";"bl_bb";"2022-02-12";"0";"0,00000000000000e+00";"6";"6,50054171180932e-01";"6";"6,50054171180932e-01";"923";"8849";"2,96372460035435e+00";"8841";"2,96104522451495e+00";"298577";"970";"3,91950864716341e+00";"311";"1,25666720543074e+00";"24748";"2,963724600354347150";"3,91950864716340686"
"2022-02-10";"bl_hb";"2022-02-12";"0";"0,00000000000000e+00";"31";"2,19858156028369e+01";"31";"2,19858156028369e+01";"141";"621";"9,15578096894996e-01";"1310";"1,93141273258043e+00";"67826";"47";"5,48873058507532e-01";"96";"1,12110241737709e+00";"8563";"0,915578096894996030";"0,54887305850753243"
